INFO 2025-01-06 13:10:41,678 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-06 13:10:41,679 autoreload Waiting for apps ready_event.
DEBUG 2025-01-06 13:10:41,838 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-01-06 13:10:41,861 autoreload Watching dir /home/fidel/.local/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-01-06 13:10:41,861 autoreload Watching dir /home/fidel/Task_management_api/locale with glob **/*.mo.
DEBUG 2025-01-06 13:10:41,861 autoreload Watching dir /home/fidel/Task_management_api/tasks/locale with glob **/*.mo.
DEBUG 2025-01-06 13:10:41,862 autoreload Watching dir /home/fidel/.local/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-01-06 13:10:41,863 autoreload Watching dir /home/fidel/.local/lib/python3.10/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
DEBUG 2025-01-06 13:10:41,863 autoreload Watching dir /home/fidel/.local/lib/python3.10/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2025-01-06 13:10:41,941 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-01-06 13:10:41,945 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-01-06 13:10:42,032 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/db/models/fields/related_descriptors.py first seen with mtime 1732121715.4014227
DEBUG 2025-01-06 13:10:42,032 autoreload File /usr/lib/python3.10/unittest/suite.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,033 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/views/generic/dates.py first seen with mtime 1732121715.4514244
DEBUG 2025-01-06 13:10:42,033 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework/utils/field_mapping.py first seen with mtime 1732671820.6202178
DEBUG 2025-01-06 13:10:42,033 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/conf/global_settings.py first seen with mtime 1732121714.6003962
DEBUG 2025-01-06 13:10:42,033 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/utils/hashable.py first seen with mtime 1732121715.4434242
DEBUG 2025-01-06 13:10:42,033 autoreload File /usr/lib/python3.10/statistics.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,033 autoreload File /home/fidel/Task_management_api/tasks/views.py first seen with mtime 1736157510.0300689
DEBUG 2025-01-06 13:10:42,034 autoreload File /usr/lib/python3.10/lib-dynload/_zoneinfo.cpython-310-x86_64-linux-gnu.so first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,034 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/cache/backends/locmem.py first seen with mtime 1732121715.3574212
DEBUG 2025-01-06 13:10:42,034 autoreload File /usr/lib/python3.10/genericpath.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,034 autoreload File /usr/lib/python3.10/asyncio/streams.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,034 autoreload File /home/fidel/.local/lib/python3.10/site-packages/psycopg2/sql.py first seen with mtime 1733445317.1272495
DEBUG 2025-01-06 13:10:42,034 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/forms/utils.py first seen with mtime 1732121715.408423
DEBUG 2025-01-06 13:10:42,034 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1732121715.3564212
DEBUG 2025-01-06 13:10:42,034 autoreload File /usr/lib/python3/dist-packages/chardet/jisfreq.py first seen with mtime 1605650645.0
DEBUG 2025-01-06 13:10:42,035 autoreload File /usr/lib/python3.10/sre_compile.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,035 autoreload File /usr/lib/python3.10/tempfile.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,035 autoreload File /usr/lib/python3.10/pkgutil.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,035 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/template/backends/django.py first seen with mtime 1732121715.4314237
DEBUG 2025-01-06 13:10:42,035 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework/authtoken/__init__.py first seen with mtime 1732671820.5282152
